ID,time,Position X,Position Z,car speed(m/s),car acceleration(m/s.^2),Yaw Angle (degree),LB Position X,LB Position Z,LB distance to ego car,LB speed,LB acceleration,LB Yaw Angle ,LF Position X,LF Position Z,LF distance to ego car,LF speed,LF acceleration,LF Yaw Angle ,B Position X,B Position Z,B distance to ego car,B speed,B acceleration,B Yaw Angle ,F Position X,F Position Z,F distance to ego car,F speed,F acceleration,F Yaw Angle ,RB Position X,RB Position Z,RB distance to ego car,RB speed,RB acceleration,RB Yaw Angle ,RF Position X,RF Position Z,RF distance to ego car,RF speed,RF acceleration,RF Yaw Angle ,LC
23005,0.05265,4369.54,7492.475,21.674,0.648,1.53,0,0,0,0,0,0,0,0,0,0,0,0,-14.16,-143.34,144.583,15.959,1.231,1.427,1.19,119.24,119.902,17.338,0.931,1.57,-2.03,-43.84,43.887,16.51,2.925,1.578,-2.14,148.49,149.026,15.44,1.509,1.57,0
23005,0.15262,4371.71,7492.513,21.698,6.416,1.55,0,0,0,0,0,0,0,0,0,0,0,0,-13.85,-143.96,145.159,15.844,4.468,1.431,1.23,118.8,119.462,17.126,0.933,1.57,-1.98,-44.35,44.392,16.561,2.912,1.578,-2.11,147.86,148.406,15.431,1.509,1.57,0
23005,0.25263,4373.87,7492.466,21.75,5.289,1.58,0,0,0,0,0,0,0,0,0,0,0,0,-13.62,-144.56,145.738,15.829,1.256,1.435,1.18,118.35,119.014,17.009,3.282,1.57,-2.01,-44.85,44.897,16.687,2.922,1.578,-2.15,147.24,147.787,15.326,6.491,1.57,0
23005,0.35263,4376.04,7492.366,21.818,3.167,1.61,0,0,0,0,0,0,0,0,0,0,0,0,-13.44,-145.17,146.325,15.704,1.291,1.439,1.08,117.87,118.534,16.765,3.281,1.57,-2.1,-45.35,45.399,16.753,2.919,1.578,-2.25,146.6,147.153,15.221,6.489,1.57,0
23005,0.45262,4378.22,7492.253,21.877,0.599,1.62,0,0,0,0,0,0,0,0,0,0,0,0,-13.26,-145.8,146.932,15.705,4.459,1.443,0.97,117.36,118.03,16.732,0.937,1.57,-2.2,-45.86,45.911,16.667,2.924,1.578,-2.37,145.94,146.492,15.116,1.509,1.57,0
23005,0.55263,4380.41,7492.165,21.931,1.977,1.62,0,0,0,0,0,0,0,0,0,0,0,0,-13.04,-146.44,147.545,15.76,1.261,1.447,0.88,116.85,117.517,16.637,3.28,1.57,-2.27,-46.38,46.431,16.717,1.424,1.578,-2.46,145.26,145.818,15.155,1.509,1.57,0
23005,0.65263,4382.6,7492.112,21.991,2.694,1.61,0,0,0,0,0,0,0,0,0,0,0,0,-12.9,-147.07,148.16,15.758,4.458,1.45,0.82,116.32,116.988,16.554,0.073,1.57,-2.31,-46.88,46.941,16.903,2.912,1.578,-2.51,144.58,145.138,15.13,1.509,1.57,0
23005,0.75263,4384.8,7492.089,22.056,2.154,1.59,0,0,0,0,0,0,0,0,0,0,0,0,-12.72,-147.72,148.788,15.734,1.263,1.453,0.8,115.76,116.434,16.342,0.941,1.57,-2.36,-47.39,47.454,16.877,6.155,1.577,-2.53,143.89,144.451,15.025,1.508,1.57,0
23005,0.85263,4387.01,7492.079,22.119,0.967,1.58,0,0,0,0,0,0,0,0,0,0,0,0,-12.4,-148.39,149.431,15.625,1.258,1.457,0.79,115.18,115.864,16.3,0.941,1.57,-2.5,-47.91,47.979,16.822,1.807,1.574,-2.54,143.18,143.752,14.984,6.487,1.57,0
23005,0.95263,4389.22,7492.063,22.18,0.751,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,114.6,115.282,16.299,0.941,1.57,-2.56,-48.46,48.526,16.631,2.927,1.574,-2.56,142.47,143.044,15.039,1.508,1.57,0
23005,1.05263,4391.44,7492.034,22.242,1.149,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,114.01,114.694,16.257,0.07,1.57,-2.58,-49.01,49.078,16.727,6.153,1.574,-2.59,141.76,142.331,15.094,1.509,1.57,0
23005,1.15262,4393.67,7491.993,22.306,0.998,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,113.41,114.095,16.182,3.276,1.57,-2.62,-49.56,49.633,16.732,1.422,1.574,-2.63,141.04,141.614,15.005,6.487,1.57,0
23005,1.25263,4395.9,7491.947,22.369,0.643,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,112.79,113.478,16.098,0.943,1.57,-2.67,-50.13,50.205,16.556,1.424,1.574,-2.68,140.3,140.883,14.98,0.085,1.57,0
23005,1.35263,4398.14,7491.907,22.431,0.793,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,112.15,112.849,16.023,0.944,1.57,-2.71,-50.72,50.794,16.381,6.15,1.574,-2.72,139.57,140.152,15.115,1.509,1.57,0
23005,1.45263,4400.39,7491.878,22.494,1.012,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,111.5,112.203,15.939,0.944,1.57,-2.73,-51.33,51.399,16.463,0.09,1.574,-2.75,138.82,139.412,15.01,1.508,1.57,0
23005,1.55263,4402.64,7491.859,22.557,0.939,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,110.84,111.549,15.907,0.945,1.57,-2.79,-51.93,52.008,16.363,6.149,1.573,-2.76,138.08,138.67,15.081,0.086,1.57,0
23005,1.65263,4404.9,7491.846,22.619,0.721,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,110.18,110.886,15.917,0.945,1.57,-2.85,-52.57,52.649,16.051,6.146,1.572,-2.78,137.33,137.928,15.2,1.509,1.57,0
23005,1.75263,4407.17,7491.832,22.682,0.623,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,109.51,110.218,15.875,3.274,1.57,-2.86,-53.23,53.303,16.103,6.147,1.572,-2.79,136.58,137.183,15.079,0.086,1.57,0
23005,1.85264,4409.44,7491.815,22.744,0.656,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,108.82,109.54,15.854,0.068,1.57,-2.88,-53.89,53.968,16.079,1.428,1.572,-2.81,135.82,136.422,15.054,1.508,1.57,0
23005,1.95263,4411.71,7491.796,22.806,0.65,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,108.13,108.852,15.864,0.945,1.57,-2.89,-54.57,54.644,15.979,1.428,1.572,-2.83,135.04,135.651,14.965,1.508,1.57,0
23005,2.05263,4414,7491.775,22.869,0.621,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,107.42,108.148,15.706,0.946,1.57,-2.91,-55.26,55.339,15.804,1.43,1.572,-2.85,134.26,134.876,15.116,1.509,1.57,0
23005,2.15263,4416.29,7491.756,22.93,0.639,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,106.7,107.436,15.758,0.946,1.57,-2.93,-55.97,56.044,15.841,6.145,1.572,-2.87,133.48,134.09,14.947,1.508,1.57,0
23005,2.25262,4418.58,7491.741,22.992,0.672,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,105.99,106.722,15.758,3.273,1.57,-2.95,-56.67,56.749,15.908,6.145,1.572,-2.89,132.68,133.298,14.986,6.487,1.57,0
23005,2.35263,4420.89,7491.729,23.054,0.666,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,105.26,105.997,15.706,0.946,1.57,-2.96,-57.39,57.47,15.779,1.43,1.572,-2.9,131.88,132.506,15.057,6.488,1.57,0
23005,2.45263,4423.19,7491.719,23.115,0.635,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,104.52,105.261,15.632,3.272,1.57,-2.97,-58.13,58.203,15.755,0.084,1.572,-2.91,131.09,131.714,15.208,1.509,1.57,0
23005,2.55263,4425.51,7491.71,23.177,0.615,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,103.77,104.518,15.642,3.273,1.57,-2.97,-58.87,58.944,15.731,1.43,1.572,-2.92,130.3,130.93,15.263,1.51,1.57,0
23005,2.65262,4427.83,7491.7,23.238,0.612,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,103.01,103.769,15.685,0.947,1.57,-2.98,-59.62,59.699,15.693,1.43,1.572,-2.93,129.5,130.136,15.158,6.489,1.57,0
23005,2.75263,4430.16,7491.69,23.299,0.611,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,102.26,103.02,15.737,0.946,1.57,-2.99,-60.38,60.452,15.745,1.43,1.572,-2.94,128.7,129.334,15.213,1.509,1.57,0
23005,2.85263,4432.49,7491.68,23.36,0.609,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,101.5,102.265,15.705,0.946,1.57,-3,-61.15,61.222,15.509,1.432,1.572,-2.95,127.89,128.534,15.364,1.509,1.57,0
23005,2.95263,4434.83,7491.67,23.421,0.611,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,100.73,101.504,15.747,0.946,1.57,-3.01,-61.93,62.007,15.577,1.431,1.572,-2.96,127.09,127.736,15.355,1.509,1.57,0
23005,3.05262,4437.17,7491.662,23.482,0.615,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,99.96,100.735,15.663,0.066,1.57,-3.02,-62.72,62.789,15.568,6.142,1.572,-2.97,126.27,126.92,15.266,1.51,1.57,0
23005,3.15262,4439.52,7491.654,23.542,0.612,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,99.16,99.948,15.547,0.948,1.57,-3.02,-63.51,63.586,15.484,1.432,1.572,-2.97,125.44,126.094,15.256,1.51,1.57,0
23005,3.25263,4441.88,7491.648,23.603,0.608,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,98.36,99.153,15.557,0.948,1.57,-3.03,-64.33,64.397,15.476,1.432,1.572,-2.98,124.6,125.264,15.216,1.509,1.57,0
23005,3.35263,4444.25,7491.643,23.663,0.603,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,97.56,98.354,15.6,0.947,1.57,-3.03,-65.14,65.21,15.543,1.431,1.572,-2.99,123.77,124.434,15.35,1.509,1.57,0
23005,3.45263,4446.61,7491.637,23.723,0.601,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,96.75,97.55,15.61,0.947,1.57,-3.04,-65.96,66.026,15.444,1.432,1.572,-2.99,122.94,123.607,15.389,0.089,1.57,0
23005,3.55263,4448.99,7491.631,23.783,0.599,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,95.93,96.739,15.558,0.948,1.57,-3.04,-66.79,66.86,15.375,0.08,1.572,-3,122.09,122.763,15.204,1.509,1.57,0
23005,3.65263,4451.37,7491.626,23.843,0.599,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,95.1,95.923,15.58,3.272,1.57,-3.05,-67.64,67.711,15.171,6.138,1.572,-3,121.22,121.903,15.084,6.488,1.57,0
